id,Title,numero_de_quartos,planta_do_empreendimento,cidade,imagem_principal,valor
229120,"Infinity Home Club",,"a:8:{i:0;s:6:""229127"";i:1;s:6:""229128"";i:2;s:6:""229125"";i:3;s:6:""229126"";i:4;s:6:""229122"";i:5;s:6:""229124"";i:6;s:6:""229129"";i:7;s:6:""229123"";}",,230581,"R$ 500.000,00"
229161,Trend,,"a:10:{i:0;s:6:""229171"";i:1;s:6:""229170"";i:2;s:6:""229169"";i:3;s:6:""229168"";i:4;s:6:""229167"";i:5;s:6:""229166"";i:6;s:6:""229165"";i:7;s:6:""229164"";i:8;s:6:""229162"";i:9;s:6:""229163"";}",,229172,"R$ 650.000,00"
229509,Griffe,,"a:10:{i:0;s:6:""229510"";i:1;s:6:""229511"";i:2;s:6:""229379"";i:3;s:6:""229378"";i:4;s:6:""229376"";i:5;s:6:""229377"";i:6;s:6:""229383"";i:7;s:6:""229382"";i:8;s:6:""229380"";i:9;s:6:""229381"";}",,229339,"R$ 1.250.000,00"
229514,Art,,"a:10:{i:0;s:6:""229214"";i:1;s:6:""229215"";i:2;s:6:""229216"";i:3;s:6:""229217"";i:4;s:6:""229218"";i:5;s:6:""229219"";i:6;s:6:""229220"";i:7;s:6:""229221"";i:8;s:6:""229222"";i:9;s:6:""229223"";}",,229233,"R$ 640.000"
229515,"Air Home Clube & Residences",,"a:12:{i:0;s:6:""229269"";i:1;s:6:""229270"";i:2;s:6:""229271"";i:3;s:6:""229272"";i:4;s:6:""229273"";i:5;s:6:""229274"";i:6;s:6:""229275"";i:7;s:6:""229276"";i:8;s:6:""229277"";i:9;s:6:""229279"";i:10;s:6:""229280"";i:11;s:6:""229278"";}",,230579,"R$ 670.000"
229516,Marcco,,"a:7:{i:0;s:6:""229440"";i:1;s:6:""229439"";i:2;s:6:""229438"";i:3;s:6:""229437"";i:4;s:6:""229436"";i:5;s:6:""229442"";i:6;s:6:""229441"";}",,230430,"R$ 1.400.000,00"
229517,Natu,,"a:10:{i:0;s:6:""229316"";i:1;s:6:""229315"";i:2;s:6:""229307"";i:3;s:6:""229308"";i:4;s:6:""229309"";i:5;s:6:""229310"";i:6;s:6:""229311"";i:7;s:6:""229312"";i:8;s:6:""229313"";i:9;s:6:""229314"";}",,229325,"R$ 400.000,00"
229520,"DUQ Central Houses",,"a:12:{i:0;s:6:""229452"";i:1;s:6:""229451"";i:2;s:6:""229450"";i:3;s:6:""229448"";i:4;s:6:""229449"";i:5;s:6:""229447"";i:6;s:6:""229446"";i:7;s:6:""229445"";i:8;s:6:""229455"";i:9;s:6:""229454"";i:10;s:6:""229453"";i:11;s:6:""229456"";}",,229443,"R$ 670.000,00"
229521,"Canto da Mata",,"a:7:{i:0;s:6:""231271"";i:1;s:6:""231270"";i:2;s:6:""231272"";i:3;s:6:""231273"";i:4;s:6:""231274"";i:5;s:6:""231269"";i:6;s:6:""231268"";}",,231237,"R$ 1.300.000,00"
229523,"Alto da Mata",,"a:4:{i:0;s:6:""229528"";i:1;s:6:""229529"";i:2;s:6:""229527"";i:3;s:6:""229526"";}",,229559,"R$ 1.728.000,00"
229638,Iconic,,"a:5:{i:0;s:6:""229663"";i:1;s:6:""229662"";i:2;s:6:""229661"";i:3;s:6:""229660"";i:4;s:6:""229659"";}",,229657,"R$ 570.000,00"
229673,"Helbor New Patteo",,"a:4:{i:0;s:6:""229696"";i:1;s:6:""229697"";i:2;s:6:""229698"";i:3;s:6:""229699"";}",,229674,"R$ 480.000,00"
229720,Legend,,"a:9:{i:0;s:6:""229721"";i:1;s:6:""229751"";i:2;s:6:""229722"";i:3;s:6:""229723"";i:4;s:6:""229725"";i:5;s:6:""229724"";i:6;s:6:""229726"";i:7;s:6:""229727"";i:8;s:6:""229728"";}",,230578,"R$ 840.000,00"
229863,Fiori,,"a:4:{i:0;s:6:""229871"";i:1;s:6:""229872"";i:2;s:6:""229873"";i:3;s:6:""229874"";}",,229879,"R$ 480.000,00"
229864,Shape,,"a:5:{i:0;s:6:""229904"";i:1;s:6:""229903"";i:2;s:6:""229901"";i:3;s:6:""229900"";i:4;s:6:""229899"";}",,229866,"R$ 520.000,00"
229928,"On The Park",,"a:5:{i:0;s:6:""229954"";i:1;s:6:""229949"";i:2;s:6:""229945"";i:3;s:6:""229950"";i:4;s:6:""229952"";}",,229939,"R$ 660.000,00"
229929,Oásis,,"a:6:{i:0;s:6:""229981"";i:1;s:6:""229982"";i:2;s:6:""229983"";i:3;s:6:""229984"";i:4;s:6:""229985"";i:5;s:6:""229987"";}",,229994,"R$ 780.000,00"
230039,Singular,,"a:6:{i:0;s:6:""230044"";i:1;s:6:""230045"";i:2;s:6:""230041"";i:3;s:6:""230040"";i:4;s:6:""230042"";i:5;s:6:""230043"";}",,230067,"R$ 2.760.000,00"
230070,"Hum Bela vista",,"a:4:{i:0;s:6:""230341"";i:1;s:6:""230343"";i:2;s:6:""230344"";i:3;s:6:""230342"";}",,230431,"R$ 250.000,00"
230281,"Residencial Aut 2750",,"a:3:{i:0;s:6:""230299"";i:1;s:6:""230300"";i:2;s:6:""230282"";}",,230298,"R$ 216.000,00"
230347,"HM Smart",,"a:6:{i:0;s:6:""230361"";i:1;s:6:""230357"";i:2;s:6:""230360"";i:3;s:6:""230359"";i:4;s:6:""230358"";i:5;s:6:""230354"";}",,230349,"R$ 220.000,00"
230365,Epic,,"a:7:{i:0;s:6:""230420"";i:1;s:6:""230419"";i:2;s:6:""230422"";i:3;s:6:""230421"";i:4;s:6:""230417"";i:5;s:6:""230416"";i:6;s:6:""230415"";}",,230413,"R$ 420.000,00"
230368,"Breeze Residencial",,"a:8:{i:0;s:6:""230388"";i:1;s:6:""230390"";i:2;s:6:""230393"";i:3;s:6:""230395"";i:4;s:6:""230409"";i:5;s:6:""230418"";i:6;s:6:""230414"";i:7;s:6:""230405"";}",,230375,"R$ 460.000,00"
230432,"Aquarela Home",,"a:5:{i:0;s:6:""230433"";i:1;s:6:""230434"";i:2;s:6:""230435"";i:3;s:6:""230436"";i:4;s:6:""230437"";}",,230449,"R$ 450.000,00"
230451,"Raro Vila Isabel",,"a:4:{i:0;s:6:""230453"";i:1;s:6:""230454"";i:2;s:6:""230455"";i:3;s:6:""230456"";}",,230468,"R$ 240.000,00"
230470,"Orla Condomínio Praia",,"a:4:{i:0;s:6:""230500"";i:1;s:6:""230501"";i:2;s:6:""230502"";i:3;s:6:""230480"";}",,230478,"R$ 240.000,00"
